RANK,PoS,WORD,TOTAL,SPOKEN,FICTION,MAGAZINE,NEWSPAPER,ACADEMIC
17932, N ,supremacist,559,181,71,88,164,55
5949, N ,matrix,4544,180,352,741,354,2917
7949, J ,scattered,2491,180,831,530,376,574
8515, N ,imperative,2291,180,143,482,227,1259
8739, N ,salsa,2928,180,213,1378,1033,124
8861, N ,mythology,2063,180,239,449,277,918
9335, V ,liken,1856,180,99,506,597,474
9385, J ,stringent,1862,180,52,407,416,807
10210, N ,graveyard,1642,180,758,251,284,169
11028, N ,caricature,1395,180,180,343,273,419
11055, V ,recapture,1405,180,158,342,333,392
11303, N ,sanity,1366,180,446,344,253,143
11726, J ,repressive,1304,180,31,192,262,639
11951, N ,sinking,1259,180,411,320,248,100
12748, N ,uterus,1129,180,158,551,129,111
13944, J ,romanian,1040,180,163,174,273,250
14339, N ,lifeline,875,180,158,205,251,81
14716, N ,gator,2596,180,420,744,1222,30
14937, N ,munitions,803,180,74,160,244,145
21883, N ,melatonin,488,180,4,272,7,25
5946, J ,varying,4127,179,271,945,525,2207
6366, N ,anthropologist,3919,179,207,746,334,2453
6388, N ,den,3905,179,1605,762,568,791
7207, J ,infrared,2943,179,314,1378,204,868
7384, N ,mural,2876,179,344,800,632,921
7590, J ,southwestern,2695,179,113,848,772,783
8146, J ,unsure,2385,179,942,423,443,398
8329, V ,inch,2343,179,974,709,377,104
8461, J ,impending,2183,179,462,558,449,535
9750, J ,two-way,1738,179,136,379,367,677
10055, J ,disposable,1643,179,197,628,393,246
10087, J ,hard-core,1486,179,108,584,500,115
10949, N ,proclamation,1447,179,138,335,236,559
11869, N ,surfer,1387,179,294,362,411,141
11991, V ,squander,1194,179,232,277,354,152
12153, N ,fray,1147,179,215,265,302,186
13346, J ,marching,959,179,230,161,196,193
13514, N ,evasion,965,179,135,186,236,229
14093, V ,repudiate,893,179,48,178,122,366
14636, J ,unmanned,924,179,89,329,163,164
15065, J ,lawful,805,179,80,89,128,329
17028, N ,co-chair,679,179,5,140,180,175
17837, N ,wedlock,544,179,65,122,109,69
19232, J ,second-degree,466,179,16,62,181,28
19813, N ,sortie,519,179,59,106,111,64
6442, V ,erect,3427,178,729,880,695,945
6656, N ,compartment,3428,178,1470,950,319,511
7021, R ,loosely,3024,178,597,1097,569,583
7346, N ,wax,2881,178,863,1100,389,351
8710, V ,diversify,2095,178,29,694,601,593
8784, V ,renovate,2150,178,166,583,1069,154
8883, J ,automotive,2063,178,74,783,553,475
9141, N ,dye,2617,178,424,976,626,413
9573, N ,residency,1915,178,140,413,661,523
10910, J ,small-town,1418,178,184,417,546,93
11140, J ,unjust,1431,178,124,266,220,643
11768, N ,fuse,1257,178,388,391,165,135
11793, N ,destroyer,1227,178,259,311,296,183
11802, J ,two-week,1228,178,84,291,482,193
12841, V ,finalize,1062,178,86,208,336,254
14049, V ,glorify,871,178,53,192,186,262
14452, V ,inflame,816,178,125,182,187,144
14933, V ,misinterpret,762,178,111,137,119,217
15215, N ,disrespect,776,178,164,139,151,144
5702, V ,encompass,4472,177,322,935,559,2479
7261, J ,designated,2854,177,221,700,752,1004
7793, J ,methodist,2725,177,198,581,1464,305
8177, R ,distinctly,2290,177,522,559,291,741
8457, N ,subscription,2389,177,189,962,704,357
8574, N ,prominence,2171,177,101,503,487,903
8591, V ,knit,2194,177,860,560,413,184
8697, J ,volcanic,2167,177,288,920,305,477
9041, V ,rake,2010,177,874,594,294,71
9307, N ,fortress,1946,177,542,573,293,361
9612, N ,footing,1776,177,466,489,337,307
9625, N ,broom,2065,177,1098,372,201,217
9931, V ,entice,1668,177,234,448,508,301
10668, V ,entrust,1426,177,269,308,254,418
10671, J ,incremental,1576,177,36,272,226,865
10782, V ,spew,1528,177,485,468,322,76
11199, V ,smother,1446,177,554,331,291,93
11489, J ,murderous,1280,177,373,296,232,202
13522, N ,ovation,978,177,102,246,410,43
14424, N ,earner,875,177,19,272,224,183
5853, N ,coaching,4424,176,70,617,2156,1405
6715, N ,parsley,3733,176,128,2247,1167,15
6943, V ,lodge,3076,176,609,1032,887,372
7163, V ,excel,2995,176,188,1076,747,808
9226, J ,midwestern,1866,176,240,467,378,605
9663, N ,flurry,1729,176,550,385,452,166
9779, N ,mailing,1695,176,117,517,391,494
10328, J ,contaminated,1576,176,52,379,346,623
10528, J ,sealed,1468,176,415,385,254,238
10726, N ,encyclopedia,1952,176,283,527,377,589
10865, J ,bipolar,1482,176,47,402,145,712
10870, V ,remake,1419,176,163,416,369,295
11591, V ,trample,1249,176,413,276,227,157
11960, J ,stormy,1194,176,300,347,258,113
12469, N ,duet,1132,176,152,282,387,135
14350, J ,abused,845,176,90,176,231,172
14647, V ,overdo,810,176,158,289,139,48
15280, J ,post-traumatic,885,176,36,190,151,332
16028, N ,airing,699,176,40,146,274,63
16037, J ,sleazy,670,176,163,157,154,20
17636, N ,rioting,576,176,42,82,168,108
18667, J ,mega,531,176,40,136,118,61
19360, N ,hijacking,507,176,28,74,159,70
20461, N ,airlift,434,176,26,65,128,39
21825, N ,liposuction,392,176,34,134,41,7
5864, N ,skier,4599,175,137,3271,848,168
6052, N ,fishery,7222,175,49,1127,795,5076
6140, J ,miniature,3791,175,1152,1222,667,575
6989, R ,comfortably,3014,175,763,1160,524,392
7558, V ,flatten,2694,175,1042,837,399,241
7813, V ,roast,2790,175,357,1159,998,101
7914, N ,pedal,2657,175,574,1471,348,89
8563, V ,materialize,2142,175,654,461,394,458
8687, N ,dissatisfaction,2302,175,142,277,241,1467
9366, N ,cranberry,2386,175,245,1318,585,63
9624, N ,prophecy,1789,175,399,413,195,607
9859, N ,licensing,1688,175,52,441,575,445
10297, V ,revert,1541,175,282,352,287,445
10319, N ,shampoo,1738,175,423,911,180,49
10461, N ,resurrection,2385,175,329,566,302,1013
11158, N ,gutter,1405,175,706,260,194,70
11273, N ,powerhouse,1452,175,39,511,647,80
11367, R ,mistakenly,1309,175,121,360,354,299
12350, V ,instill,1125,175,62,292,260,336
13675, R ,nonstop,962,175,207,265,275,40
14303, J ,sudanese,928,175,18,125,324,286
14351, V ,disband,841,175,77,166,262,161
16265, N ,hypocrite,668,175,154,100,181,58
16961, N ,airspace,649,175,79,129,176,90
6229, V ,yank,4213,174,3012,567,411,49
6790, N ,elevation,3252,174,198,1348,513,1019
6919, N ,granite,3185,174,972,1022,827,190
7006, N ,imaging,3248,174,91,1016,302,1665
7028, N ,squash,3386,174,336,1846,902,128
7115, N ,simplicity,2985,174,356,1116,480,859
7354, J ,graceful,2818,174,1136,851,464,193
8756, N ,cavalry,2434,174,507,1287,249,217
9248, N ,flare,1937,174,775,604,171,213
9276, J ,demanding,1847,174,178,599,436,460
9724, N ,skyline,1776,174,429,420,638,115
10063, R ,kinda,1706,174,1045,264,177,46
10839, R ,downright,1451,174,301,518,369,89
11281, N ,schoolchild,1317,174,123,320,423,277
12107, N ,breaker,1270,174,306,404,280,106
13083, N ,registry,1812,174,110,471,463,594
13306, N ,entirety,1009,174,134,176,144,381
13430, N ,sync,1253,174,123,535,325,96
14927, N ,op-ed,813,174,16,277,213,133
15680, N ,sci-fi,1674,174,202,594,610,94
17914, R ,fro,1638,174,816,345,135,168
18573, N ,nuke,623,174,191,167,71,20
5895, N ,repetition,4154,173,349,1350,273,2009
6244, V ,entail,3941,173,207,703,337,2521
7167, J ,astronomical,2954,173,163,1264,232,1122
7988, N ,enhancement,2550,173,202,542,296,1337
8812, V ,stomp,2146,173,1267,383,270,53
9114, J ,frail,1935,173,867,345,245,305
9175, J ,tidal,1937,173,335,655,330,444
9681, N ,notch,1779,173,507,585,329,185
10099, N ,vista,3994,173,450,1609,1362,400
10602, J ,beaten,1485,173,384,459,378,91
10853, N ,impediment,1439,173,130,238,211,687
11399, N ,housekeeper,1357,173,616,215,264,89
11745, N ,drone,1487,173,690,264,260,100
11956, M ,twenty-six,1217,173,468,203,51,322
12093, J ,protracted,1195,173,95,256,267,404
13548, N ,fertilization,965,173,44,332,130,286
15414, N ,dunk,821,173,59,192,384,13
17153, V ,adjourn,606,173,168,58,140,67
19846, J ,disgraceful,440,173,78,50,92,47
23852, J ,infomercial,321,173,24,69,54,1
3366, J ,cognitive,11095,172,91,1142,175,9515
5370, J ,specialized,4878,172,138,1507,619,2442
5577, N ,supper,4724,172,2697,915,593,347
7540, N ,vibration,2776,172,658,858,191,897
8033, V ,simulate,2482,172,218,811,267,1014
8330, V ,converge,2217,172,438,538,373,696
9212, N ,jelly,2672,172,1129,776,488,107
9250, N ,ache,2005,172,1012,525,174,122
9518, N ,fridge,2026,172,868,745,227,14
9549, R ,vividly,1757,172,342,464,382,397
9717, V ,dilute,1703,172,125,510,443,453
10281, N ,pickle,1668,172,512,466,438,80
10336, J ,precarious,1523,172,276,322,259,494
10359, J ,sluggish,1555,172,293,515,438,137
10442, N ,rhyme,1544,172,444,336,214,378
11232, J ,stricken,1347,172,579,246,237,113
11833, N ,calculator,1294,172,171,438,326,187
12698, N ,demo,1259,172,161,510,291,125
13049, N ,glitch,1051,172,179,333,319,48
13570, J ,overcrowded,941,172,92,202,327,148
14029, N ,striker,948,172,87,184,328,177
15113, V ,bog,754,172,63,187,220,112
15507, N ,semen,744,172,174,162,148,88
15929, N ,laurel,3055,172,1261,558,852,212
17130, N ,gunpoint,606,172,104,95,199,36
18179, N ,hearsay,524,172,78,69,123,82
19405, N ,speechwriter,522,172,33,176,115,26
20360, N ,buster,4668,172,2904,702,740,150
4421, J ,dried,6754,171,1441,3315,1531,296
5489, N ,lime,5139,171,909,2363,1303,393
6561, N ,astronomy,5042,171,186,2254,199,2232
6935, R ,wholly,3093,171,510,678,427,1307
8827, V ,relish,2057,171,537,600,554,195
9465, V ,elude,1770,171,458,407,382,352
9489, N ,sponge,1906,171,457,702,251,325
9534, V ,relay,1801,171,442,413,518,257
10184, N ,barge,1592,171,520,446,356,99
11129, R ,spiritually,1372,171,96,443,219,443
12001, R ,prematurely,1167,171,241,302,230,223
12435, N ,obituary,1106,171,292,208,273,162
12797, V ,appease,1045,171,199,203,211,261
12875, J ,philippine,1103,171,100,248,347,237
13693, V ,infuriate,928,171,193,197,277,90
21766, U ,behold,356,171,45,76,50,14
4435, J ,ecological,7090,170,124,1232,474,5090
4632, J ,developmental,6886,170,43,801,439,5433
5475, V ,correspond,5018,170,249,807,277,3515
6400, N ,pastry,3805,170,564,1411,1606,54
6681, N ,blouse,3587,170,2299,727,297,94
7063, V ,conform,3041,170,212,586,349,1724
7864, V ,conjure,2497,170,798,653,413,463
8262, N ,submission,2422,170,279,486,325,1162
8583, N ,democratization,2425,170,4,193,153,1905
8837, J ,commonplace,2033,170,223,543,351,746
9010, N ,flute,2010,170,733,407,321,379
9178, V ,mitigate,2077,170,80,341,253,1233
10436, J ,acoustic,1640,170,87,358,335,690
11870, N ,reunification,1307,170,13,158,252,714
11948, J ,low-level,1216,170,111,298,325,312
12159, N ,cub,5700,170,479,1019,3743,289
12726, N ,taco,1765,170,263,627,638,67
12788, J ,overriding,1063,170,51,199,229,414
14346, N ,skating,861,170,85,247,300,59
14395, V ,retract,857,170,261,161,124,141
14454, J ,privy,832,170,241,133,93,195
14690, N ,transcription,1042,170,62,90,62,658
15761, J ,forthright,684,170,85,161,142,126
17652, J ,thrilled,565,170,165,101,115,14
20063, N ,anesthesiologist,523,170,72,128,103,50
20369, N ,gavel,912,170,420,148,132,42
4578, J ,perceived,6942,169,62,452,458,5801
4656, N ,processor,6393,169,261,2929,1287,1747
4796, N ,undergraduate,6242,169,296,803,836,4138
6057, J ,cosmic,4008,169,513,1621,281,1424
6206, N ,quilt,3968,169,1798,1178,696,127
6323, N ,packet,3636,169,1102,975,420,970
6899, R ,casually,3208,169,1749,672,390,228
7814, N ,depiction,2600,169,110,616,401,1304
7940, N ,lizard,2823,169,1082,879,300,393
8562, V ,churn,2205,169,798,633,480,125
8841, V ,visualize,2055,169,389,634,204,659
8932, R ,endlessly,2004,169,661,553,312,309
9376, N ,capitalist,1877,169,93,558,477,580
9478, N ,shoreline,2051,169,375,642,472,393
9886, N ,marketer,1721,169,14,554,789,195
10054, J ,gloomy,1632,169,674,323,283,183
10604, N ,resurgence,1501,169,26,320,429,557
11038, N ,sub,1445,169,294,442,293,247
11168, J ,islamist,1689,169,1,168,291,1060
11264, V ,marginalize,1445,169,29,191,162,894
12080, J ,utmost,1185,169,249,221,181,365
12397, N ,handout,1152,169,117,243,271,352
12695, N ,fiddle,1086,169,417,192,237,71
13167, V ,baby-sit,1029,169,307,286,225,42
13539, J ,malicious,951,169,253,182,180,167
13886, J ,unfit,894,169,136,152,185,252
14320, N ,defection,871,169,52,164,290,196
17134, V ,dupe,592,169,94,120,129,80
5634, N ,wool,4580,168,1866,1756,531,259
5730, V ,gasp,4732,168,3649,551,298,66
6051, N ,baseline,4713,168,93,420,296,3736
6336, V ,drape,3771,168,2061,793,554,195
6753, J ,diagnostic,3590,168,145,643,256,2378
7373, J ,intricate,2753,168,684,840,466,595
7452, V ,hurl,2812,168,1498,541,427,178
7682, V ,bathe,2662,168,1371,573,327,223
8451, V ,sharpen,2217,168,612,724,306,407
8619, N ,insulation,2258,168,205,1269,319,297
8696, N ,enthusiast,2184,168,114,933,638,331
8758, N ,catfish,2099,168,213,752,797,169
9056, J ,obsolete,1953,168,222,667,387,509
9416, V ,infer,1942,168,111,252,110,1301
9677, N ,predicament,1747,168,322,404,322,531
9688, N ,donkey,2181,168,1150,363,385,115
9986, N ,heading,1661,168,336,336,274,547
10811, N ,dynasty,2085,168,180,616,562,559
11061, J ,spreading,1367,168,321,393,247,238
11182, V ,solidify,1374,168,148,280,340,438
11569, V ,madden,1445,168,332,309,508,128
12091, J ,chilean,1310,168,75,284,283,500
12242, V ,inaugurate,1136,168,44,308,221,395
12754, N ,blitz,1121,168,63,350,477,63
12786, N ,mania,1057,168,125,352,281,131
13037, V ,substantiate,1045,168,47,135,146,549
14111, N ,morphine,981,168,339,172,127,175
16403, J ,israeli-palestinian,718,168,2,74,222,252
18238, N ,sandinista,1384,168,19,318,462,417
38147, N ,monte,2002,168,264,583,625,362
7859, N ,outing,2605,167,356,938,982,162
8510, N ,stocking,2289,167,1132,502,304,184
8526, V ,litter,2200,167,871,537,466,159
8799, R ,commercially,2075,167,43,674,326,865
9089, N ,scissors,2022,167,899,542,205,209
9132, J ,continental,3767,167,222,1160,1119,1099
9277, N ,lava,2111,167,724,794,191,235
9306, V ,shun,1843,167,254,540,552,330
9506, N ,terminology,1934,167,91,250,140,1286
9639, N ,gloom,1855,167,966,345,257,120
9739, J ,eldest,1766,167,606,453,361,179
9799, R ,plainly,1702,167,561,371,213,390
9861, J ,soaring,1703,167,193,515,701,127
10832, V ,resurrect,1405,167,240,338,361,299
10908, V ,dispel,1370,167,257,285,281,380
11041, J ,stated,1444,167,44,266,240,727
11225, J ,quirky,1421,167,122,531,536,65
11679, N ,arithmetic,1297,167,187,214,113,616
12478, N ,dynamite,1200,167,351,254,212,216
12932, J ,goofy,1058,167,254,283,335,19
14216, N ,rerun,867,167,160,227,272,41
16667, J ,two-year-old,637,167,112,240,85,33
17099, N ,methamphetamine,810,167,24,35,186,398
17475, N ,editor-in-chief,672,167,31,328,76,70
19024, R ,fiscally,543,167,13,102,194,67
20907, N ,bender,1100,167,149,206,327,251
23287, J ,unfunded,416,167,3,72,83,91
6737, N ,lace,3390,166,1709,976,398,141
7211, R ,invariably,2867,166,467,858,447,929
7685, N ,resemblance,2533,166,657,589,350,771
7715, J ,applicable,2823,166,66,296,215,2080
7838, N ,inning,2897,166,183,328,2199,21
8119, N ,stimulation,2555,166,119,685,139,1446
8737, N ,ape,2293,166,750,479,177,721
8752, N ,decision-making,2308,166,18,282,350,1492
8822, J ,annoyed,2190,166,1420,283,179,142
9166, N ,citrus,2056,166,134,857,519,380
9819, N ,dryer,1772,166,545,683,270,108
10234, N ,yeast,1816,166,147,963,391,149
11148, J ,ailing,1357,166,181,370,520,120
11545, N ,fella,1392,166,815,228,169,14
11576, V ,tinker,1406,166,194,520,367,159
11611, J ,vulgar,1242,166,392,200,191,293
11797, J ,acclaimed,1265,166,44,438,499,118
11988, V ,streamline,1218,166,39,379,366,268
12101, V ,baffle,1153,166,387,256,232,112
12120, V ,befriend,1184,166,221,304,352,141
12416, N ,stupidity,1111,166,432,189,189,135
12684, V ,evict,1053,166,169,184,348,186
12872, N ,glimmer,1124,166,480,210,179,89
13582, N ,migraine,1180,166,187,632,113,82
13825, R ,musically,917,166,74,127,203,347
14026, N ,malice,888,166,343,134,123,122
14557, V ,regroup,826,166,110,181,255,114
14904, N ,mesa,2474,166,332,674,885,417
16721, N ,hookup,1432,166,150,586,428,102
17777, N ,quid,547,166,84,95,76,126
23252, J ,line-item,330,166,1,26,93,44
39625, N ,pressman,300,166,26,20,74,14
7026, J ,modified,3117,165,159,749,408,1636
7095, R ,calmly,3130,165,1955,543,315,152
7491, V ,mediate,2939,165,74,278,308,2114
8522, N ,grammar,2359,165,439,293,337,1125
8800, J ,stuffed,2088,165,777,553,497,96
10066, N ,wreath,1710,165,401,720,370,54
11166, J ,bottled,1401,165,189,523,428,96
11944, V ,peddle,1172,165,177,391,342,97
12483, M ,twenty-eight,1174,165,455,186,71,297
13051, N ,pessimism,1085,165,59,223,161,477
13761, N ,geek,1098,165,333,360,214,26
13877, V ,reconnect,997,165,120,345,219,148
14031, N ,screenwriter,976,165,64,280,408,59
14492, J ,paying,808,165,141,151,227,124
15033, J ,hateful,779,165,289,99,142,84
15374, N ,outage,834,165,91,127,293,158
16931, N ,vindication,602,165,53,106,144,134
19010, N ,cheater,566,165,63,155,87,96
19622, R ,unconditionally,472,165,40,99,66,102
21162, N ,arraignment,388,165,55,40,113,15
4488, J ,vertical,6370,164,709,2503,669,2325
5411, N ,bead,4725,164,1706,1307,429,1119
5820, J ,antique,4282,164,1205,1714,905,294
6073, N ,revision,4215,164,548,471,535,2497
7582, J ,fertile,2643,164,342,836,453,848
7820, V ,culminate,2571,164,166,534,497,1210
8165, J ,hindu,2380,164,184,394,578,1060
8228, N ,consortium,2363,164,160,518,630,891
8678, N ,intuition,2150,164,418,616,142,810
9872, N ,vigor,1685,164,357,456,255,453
10566, N ,adjective,1560,164,200,239,176,781
11016, J ,welcoming,1427,164,354,397,306,206
11065, N ,funnel,1415,164,326,500,254,171
11137, V ,reorganize,1352,164,75,299,335,479
11527, V ,delve,1285,164,160,328,326,307
11670, N ,spore,1438,164,118,358,123,675
11683, N ,maternity,1278,164,213,350,282,269
12094, N ,fundamentalism,1215,164,14,295,170,572
12486, J ,hardened,1104,164,340,253,206,141
12562, N ,eater,1411,164,319,523,267,138
13022, J ,momentous,1014,164,161,258,195,236
13777, N ,monoxide,987,164,61,355,158,249
13941, J ,confrontational,913,164,46,166,235,302
14657, J ,unfounded,809,164,61,158,237,189
15058, N ,tarmac,797,164,319,181,112,21
17198, N ,cam,1781,164,705,473,182,257
3813, N ,sodium,9320,163,127,5347,2980,703
5334, J ,architectural,4845,163,317,1616,1218,1531
6634, N ,pavement,3412,163,1809,756,473,211
7088, N ,cabbage,3137,163,566,1367,887,154
7397, N ,turbine,3219,163,170,854,403,1629
8208, N ,relaxation,2354,163,182,850,269,890
8412, N ,plasma,2462,163,356,801,161,981
8523, J ,indifferent,2176,163,688,393,281,651
8946, N ,facet,2042,163,171,363,321,1024
9195, N ,grit,2158,163,468,808,613,106
9216, N ,bladder,1967,163,420,932,183,269
9820, N ,fume,1710,163,600,447,331,169
10126, N ,condominium,1658,163,193,284,904,114
10332, J ,approved,1577,163,64,325,432,593
10352, J ,robotic,1679,163,295,597,235,389
11563, N ,esteem,1286,163,112,259,162,590
12022, R ,harshly,1173,163,379,176,222,233
12028, N ,bourbon,1799,163,674,482,336,144
12310, V ,ravage,1118,163,223,315,255,162
12567, J ,joyous,1080,163,310,271,218,118
12823, V ,defuse,1015,163,107,237,284,224
13068, J ,one-man,1007,163,100,279,387,78
13314, J ,wasteful,988,163,83,292,207,243
13405, N ,contraceptive,1022,163,15,353,177,314
13494, N ,kissing,979,163,375,245,114,82
13561, J ,assisted,977,163,64,195,217,338
13624, N ,blunder,935,163,123,281,240,128
13664, N ,mismanagement,933,163,28,168,323,251
13991, V ,normalize,933,163,26,132,121,491
14563, J ,seven-year,854,163,39,209,382,61
15240, R ,unequivocally,752,163,44,154,91,300
16059, N ,luster,946,163,209,289,198,87
17186, N ,barb,1333,163,517,307,246,100
17979, V ,blackmail,549,163,171,71,92,52
21220, J ,prosecutorial,385,163,16,60,93,53
47473, N ,wen,674,163,217,79,139,76
2554, N ,respondent,16380,162,29,1117,852,14220
3424, N ,receiver,9651,162,1886,2321,4383,899
6373, N ,dominance,3735,162,106,781,676,2010
6786, V ,signify,3255,162,463,546,299,1785
6810, N ,foil,3543,162,539,1781,819,242
7824, N ,watershed,2659,162,44,495,535,1423
8027, N ,bartender,2698,162,1634,423,419,60
8683, N ,canon,3541,162,204,1048,389,1738
8824, V ,seep,2146,162,1065,474,319,126
9083, J ,cross-country,1990,162,170,945,572,141
9184, N ,experimentation,1970,162,97,501,265,945
10258, J ,mashed,1695,162,317,587,604,25
10799, V ,cleanse,1427,162,345,452,203,265
11223, J ,treacherous,1362,162,451,331,266,152
11421, N ,onslaught,1281,162,247,340,331,201
11631, N ,janitor,1281,162,546,172,314,87
11724, V ,depress,1219,162,344,300,221,192
12492, J ,hectic,1116,162,179,433,259,83
12722, V ,refresh,1095,162,300,378,154,101
12836, N ,aberration,1040,162,121,273,175,309
14012, R ,ideologically,941,162,15,142,118,504
15060, N ,psychotherapist,850,162,40,415,141,92
16275, N ,re-entry,696,162,98,158,130,148
16671, N ,sellout,1322,162,82,280,714,84
18959, N ,floodwaters,523,162,57,97,135,72
19877, V ,mishandle,447,162,18,51,169,47
6903, V ,slump,3284,161,2080,429,536,78
7455, V ,furnish,2676,161,551,744,490,730
8734, N ,athletics,3108,161,82,339,1700,826
8850, N ,farmland,2040,161,231,589,618,441
8930, R ,frantically,2112,161,1329,328,235,59
9080, N ,bunk,2124,161,1241,391,274,57
9403, V ,prod,1844,161,673,397,429,184
9492, N ,tug,1945,161,901,530,245,108
9585, V ,reshape,1788,161,127,491,452,557
9610, J ,shady,1786,161,514,606,372,133
9674, N ,cut-off,1785,161,302,300,310,712
9710, N ,biotechnology,1763,161,24,436,507,635
9727, J ,limiting,1810,161,36,390,369,854
9849, V ,afflict,1660,161,248,580,276,395
10039, N ,luncheon,1681,161,281,329,747,163
10260, N ,sailing,1586,161,337,432,446,210
10525, J ,supplemental,1538,161,24,383,323,647
11001, J ,unreliable,1377,161,190,291,238,497
11156, N ,leash,1439,161,709,279,226,64
11230, N ,hassle,1495,161,111,526,377,320
11304, N ,pitfall,1344,161,69,423,281,410
11439, N ,showroom,1345,161,141,450,561,32
11681, J ,relieved,1329,161,776,191,136,65
12545, R ,decisively,1078,161,165,204,179,369
12928, N ,irregularity,1050,161,99,278,237,275
13153, N ,arsenic,1196,161,74,279,192,490
14165, J ,one-day,910,161,27,225,372,125
14337, N ,malnutrition,874,161,54,199,155,305
15991, N ,legalization,747,161,2,119,170,295
16251, J ,grown,678,161,281,119,97,20
16592, N ,mirage,1207,161,316,299,312,119
18996, J ,un-american,510,161,28,105,129,87
24444, N ,asian-american,320,161,2,32,97,28
33118, N ,bubba,1118,161,551,116,288,2
5256, N ,paradigm,5390,160,100,799,260,4071
7047, N ,reliance,3131,160,55,540,595,1781
7934, N ,crate,2611,160,1487,507,336,121
8122, N ,neon,2397,160,1019,538,434,246
8805, N ,cradle,2067,160,845,528,311,223
8993, J ,restricted,1993,160,140,355,475,863
9062, N ,anomaly,2037,160,316,443,264,854
9220, N ,ballroom,1967,160,697,380,681,49
9794, N ,auditorium,2618,160,744,393,1134,187
9887, J ,finite,1816,160,113,272,147,1124
10160, V ,disseminate,1695,160,42,227,187,1079
10530, J ,unbearable,1506,160,687,254,208,197
10836, N ,deli,1520,160,369,410,545,36
10911, V ,taunt,1404,160,575,271,287,111
11220, N ,professionalism,1411,160,102,181,280,688
11659, R ,artificially,1224,160,117,311,251,385
11914, J ,conscientious,1207,160,152,341,241,313
12232, N ,cancellation,1168,160,64,298,444,202
12694, J ,iconic,1442,160,49,560,367,306
13333, J ,fascist,1005,160,114,177,173,381
13640, J ,blocking,952,160,64,242,282,204
13715, N ,scuba,962,160,128,353,225,96
13772, V ,gouge,913,160,323,198,174,58
14223, J ,separatist,859,160,22,107,285,285
14888, N ,crusader,1483,160,142,481,406,294
15405, R ,rightfully,713,160,107,128,176,142
16434, J ,law-abiding,655,160,51,92,267,85
16684, N ,flak,650,160,128,184,166,12
17605, N ,depositor,650,160,18,175,168,129
19880, N ,mammography,556,160,0,268,81,47
27099, N ,profiler,277,160,50,28,20,19
2407, N ,tablespoon,22696,159,110,14241,8173,13
5956, V ,stroll,4089,159,1816,1033,881,200
8013, J ,cardboard,2493,159,1175,578,389,192
8599, J ,low-cost,2188,159,17,820,699,493
8905, N ,semiconductor,2087,159,17,626,620,665
8996, N ,raspberry,2140,159,355,1017,561,48
9201, N ,by-product,1923,159,108,637,299,720
9426, J ,overt,1874,159,131,304,262,1018
10780, N ,diarrhea,1504,159,120,737,216,272
10851, N ,reassurance,1413,159,396,366,202,290
10875, J ,funky,1481,159,235,585,477,25
11484, N ,fad,1331,159,108,465,372,227
11532, J ,flipping,1330,159,621,303,192,55
11847, J ,sporadic,1231,159,148,223,281,420
11989, N ,staging,1254,159,102,199,456,338
12003, J ,on-screen,1335,159,119,671,301,85
12190, J ,idealistic,1144,159,116,271,237,361
12218, N ,opium,1208,159,272,264,249,264
13027, J ,naughty,1099,159,357,356,185,42
13170, J ,classy,1047,159,244,290,334,20
13305, V ,re-evaluate,996,159,40,202,219,376
13533, N ,pep,1005,159,163,265,277,141
13536, J ,weakest,944,159,91,220,237,237
15192, J ,bulletproof,749,159,170,174,216,30
16058, J ,retiring,691,159,37,142,293,60
16741, N ,telecom,1312,159,23,447,586,97
16754, J ,embattled,654,159,35,156,223,81
19841, N ,governorship,470,159,7,97,141,66
20665, N ,gunship,425,159,48,71,123,24
23483, N ,pol,942,159,281,219,196,87
2448, N ,teaspoon,26340,158,194,18959,6904,125
6680, N ,brochure,3249,158,545,832,764,950
7733, N ,facade,2513,158,559,646,574,576
8413, J ,danish,2450,158,239,492,405,1156
8472, N ,occupant,2295,158,552,560,383,642
8995, J ,mundane,1972,158,381,561,408,464
9038, N ,quotation,2088,158,225,330,257,1118
9689, N ,healer,1839,158,421,425,191,644
9854, V ,amass,1722,158,157,577,549,281
10246, V ,tack,1611,158,564,472,303,114
10846, N ,halftime,3100,158,198,464,2112,168
10960, J ,ambivalent,1417,158,105,244,207,703
11342, V ,spearhead,1341,158,49,379,428,327
11354, N ,verification,1450,158,78,156,193,865
12117, N ,handbag,1267,158,507,346,217,39
12417, N ,compulsion,1110,158,213,250,108,381
12625, R ,disproportionately,1161,158,21,254,181,547
12685, J ,white-collar,1069,158,42,287,390,192
12827, J ,calculated,1069,158,151,163,160,437
13388, N ,cello,1083,158,356,115,224,230
13771, N ,dermatologist,1184,158,58,843,104,21
14974, V ,interject,802,158,367,104,100,73
16205, N ,conspirator,688,158,188,103,122,117
16638, N ,lynching,652,158,38,126,188,142
17775, N ,app,3248,158,46,1746,480,818
18043, N ,markup,1126,158,50,300,346,272
18672, N ,mafia,1489,158,249,391,572,119
18690, N ,chairmanship,512,158,9,93,167,85
21582, N ,sell-off,388,158,3,56,140,31
24041, N ,nova,1987,158,369,609,328,523
27748, N ,ensign,592,158,273,61,81,19
34028, N ,yogi,588,158,60,187,143,40
7156, J ,maternal,3168,157,441,638,308,1624
7865, N ,trajectory,3216,157,431,592,197,1839
8132, R ,mutually,2497,157,144,409,196,1591
